0.002256572	0.087543091	8.15E-04
0.002261676	0.088151567	8.17E-04
0.002266803	0.090138078	8.20E-04
0.002271953	0.091064798	8.20E-04
0.002277126	0.091720443	8.20E-04
0.002282323	0.091858201	8.23E-04
0.002287544	0.091892502	8.22E-04
0.002292789	0.091861471	8.22E-04
0.002298058	0.091050789	8.22E-04
0.002303351	0.092054582	8.23E-04
0.002308669	0.093693733	8.24E-04
0.002314011	0.093092785	8.24E-04
0.002319378	0.093574441	8.24E-04
0.00232477	0.092569319	8.24E-04
0.002330188	0.093041353	8.23E-04
0.00233563	0.094042796	8.24E-04
0.002341098	0.092006815	8.24E-04
0.002346592	0.092685502	8.25E-04
0.002352111	0.093472706	8.25E-04
0.002357656	0.094345092	8.26E-04
0.002363228	0.096034776	8.27E-04
0.002368826	0.096297753	8.27E-04
0.002374451	0.098758413	8.29E-04
0.002380102	0.097102859	8.30E-04
0.002385781	0.099146715	8.30E-04
0.002391486	0.09910381	8.30E-04
0.002397219	0.099793333	8.30E-04
0.00240298	0.101201988	8.32E-04
0.002408768	0.099088077	8.30E-04
0.002414584	0.099002961	8.30E-04
0.002420428	0.102310783	8.32E-04
0.002426301	0.102546469	8.31E-04
0.002432202	0.104234313	8.32E-04
0.002438132	0.105096695	8.33E-04
0.002444091	0.104200304	8.32E-04
0.00245008	0.103488891	8.32E-04
0.002456097	0.104027662	8.31E-04
0.002462145	0.105665618	8.32E-04
0.002468222	0.104836091	8.32E-04
0.002474329	0.1065143	8.33E-04
0.002480466	0.108118457	8.34E-04
0.002486634	0.107318339	8.33E-04
0.002492833	0.108738781	8.34E-04
0.002499063	0.107396131	8.33E-04
0.002505324	0.108671107	8.34E-04
0.002511616	0.107326257	8.34E-04
0.00251794	0.10877171	8.34E-04
0.002524296	0.10942057	8.35E-04
0.002530685	0.111557168	8.36E-04
0.002537105	0.111399894	8.35E-04
0.002543558	0.111342969	8.36E-04
0.002550045	0.112118214	8.37E-04
0.002556564	0.112011374	8.37E-04
0.002563117	0.111121839	8.36E-04
0.002569703	0.113918738	8.38E-04
0.002576324	0.114018874	8.38E-04
0.002582978	0.114757015	8.38E-04
0.002589667	0.118858399	8.41E-04
0.002596391	0.117885953	8.41E-04
0.00260315	0.120242283	8.43E-04
0.002609944	0.120838636	8.42E-04
0.002616774	0.120249068	8.42E-04
0.002623639	0.122885691	8.44E-04
0.002630541	0.123716167	8.43E-04
0.002637479	0.123595857	8.44E-04
0.002644453	0.124693816	8.44E-04
0.002651465	0.125542595	8.44E-04
0.002658514	0.125263757	8.44E-04
0.0026656	0.124750698	8.43E-04
0.002672725	0.127094356	8.45E-04
0.002679887	0.125861801	8.44E-04
0.002687089	0.12840599	8.45E-04
0.002694328	0.125548581	8.43E-04
0.002701607	0.125974793	8.44E-04
0.002708926	0.126345983	8.44E-04
0.002716284	0.126059064	8.43E-04
0.002723682	0.127787967	8.44E-04
0.002731121	0.128059877	8.44E-04
0.002738601	0.127802152	8.44E-04
0.002746121	0.127616579	8.44E-04
0.002753683	0.127670977	8.43E-04
0.002761287	0.128274116	8.45E-04
0.002768933	0.130323312	8.46E-04
0.002776621	0.127008171	8.44E-04
0.002784352	0.129380815	8.44E-04
0.002792126	0.130411879	8.45E-04
0.002799944	0.130587336	8.45E-04
0.002807806	0.131098218	8.46E-04
0.002815712	0.131669262	8.46E-04
0.002823662	0.132127923	8.46E-04
0.002831658	0.133273136	8.46E-04
0.002839699	0.131417443	8.44E-04
0.002847786	0.133868998	8.46E-04
0.002855919	0.134008883	8.46E-04
0.002864099	0.133256787	8.45E-04
0.002872325	0.134291909	8.45E-04
0.002880599	0.133458223	8.44E-04
0.002888921	0.132560861	8.43E-04
0.002897291	0.132809446	8.42E-04
0.00290571	0.133883649	8.43E-04
0.002914177	0.134292383	8.42E-04
0.002922695	0.13265112	8.42E-04
0.002931262	0.134047228	8.43E-04
0.002939879	0.133603557	8.42E-04
0.002948548	0.132531445	8.41E-04
0.002957267	0.135187209	8.43E-04
0.002966039	0.132633367	8.41E-04
0.002974862	0.132776635	8.41E-04
0.002983739	0.133046238	8.42E-04
0.002992668	0.133765741	8.42E-04
0.003001651	0.131963195	8.40E-04
0.003010688	0.132982213	8.41E-04
0.00301978	0.135431414	8.42E-04
0.003028926	0.134309652	8.41E-04
0.003038129	0.136184183	8.42E-04
0.003047387	0.134315618	8.40E-04
0.003056702	0.134975493	8.41E-04
0.003066074	0.136209857	8.42E-04
0.003075504	0.137368218	8.43E-04
0.003084992	0.138065562	8.43E-04
0.003094538	0.136580039	8.42E-04
0.003104144	0.136418632	8.43E-04
0.00311381	0.13877949	8.44E-04
0.003123536	0.139245407	8.44E-04
0.003133323	0.138882616	8.43E-04
0.003143171	0.137724478	8.43E-04
0.003153082	0.138640175	8.42E-04
0.003163056	0.140126796	8.43E-04
0.003173092	0.139502638	8.42E-04
0.003183193	0.139413077	8.42E-04
0.003193358	0.140774257	8.42E-04
